story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
Desperate Housewives,exact,tt0410975,tvSeries,Desperate Housewives,2004.0,2012.0,45.0,"Comedy,Drama,Mystery"
The Blacklist,exact,tt0006437,movie,The Blacklist,1916.0,,50.0,Drama
Chilling Adventures of Sabrina,exact,tt7569592,tvSeries,Chilling Adventures of Sabrina,2018.0,2020.0,60.0,"Drama,Fantasy,Horror"
Dirty Dancing,exact,tt0092890,movie,Dirty Dancing,1987.0,,100.0,"Drama,Music,Romance"
Unbreakable Kimmy Schmidt,exact,tt3339966,tvSeries,Unbreakable Kimmy Schmidt,2015.0,2019.0,30.0,Comedy
Downton Abbey,exact,tt1606375,tvSeries,Downton Abbey,2010.0,2015.0,60.0,"Drama,Romance"
10 Things I Hate About You,exact,tt0147800,movie,10 Things I Hate About You,1999.0,,97.0,"Comedy,Drama,Romance"
West Side Story,exact,tt0055614,movie,West Side Story,1961.0,,153.0,"Crime,Drama,Musical"
To Kill a Mockingbird,exact,tt35887611,movie,To Kill A Mockingbird,1960.0,,,Drama
Futurama,exact,tt8964678,tvSeries,Futurama,1964.0,1964.0,480.0,Sport
